Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38148.9465,41270.1063,43907.5503,30788.2256,21076.1268,12666.2737,5447.7891,-543.6871,-413.2438,-3728.9053,-5258.9563,-6501.4728,-7657.0574,-8285.7706,-8418.9858,-9072.2251,-9964.3564,-8276.8093,-8611.3823
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5634.1443,5811.1147,5342.0109,1570.4454,752.912,-381.2369,-1579.3129,-2684.3079,140.6341,99.143,89.5683,88.0307,64.5805,39.6464,-94.989,-746.9334,-1634.3932,34.6074,-300.281
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32425.158,35383.6358,38487.2215,29190.3869,20303.115,13030.1887,7011.8444,2127.115,-567.3193,-3841.1866,-5362.0694,-6603.7472,-7735.8491,-8339.4069,-8338.3882,-8339.84,-8344.1995,-8328.2264,-8328.0162
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.488,28.5127,31.4451,12.1319,8.7956,7.485,6.5129,5.7018,5.594,5.4467,5.5697,5.8132,5.7626,5.6506,5.7877,5.8271,5.6824,6.6709,6.6942
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.1842,46.5171,47.489,50.8245,71.992,124.5577,204.1038,262.3503,311.7249,371.0678,423.4155,475.0118,504.8688,510.5174,515.6724,515.1919,503.9606,564.2479,561.2899
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Temperature|Global Mean,°C,,0.9162,0.9758,0,1.2401,0,1.4851,0,1.5424,0,1.5238,0,1.4662,0,1.4101,0,1.3533,0,1.2915,0,1.2333
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38148.9465,41259.1519,43943.2767,31731.4478,23872.383,21181.6558,21409.4609,21980.7824,18343.4203,13867.353,10980.7007,15043.5645,12896.3541,12750.8198,13166.0372,12254.7836,10392.4725,9320.3627,7758.4382
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5634.1443,5800.5047,5380.1137,1571.9793,730.1728,75.0791,1183.8227,3272.3166,1329.8566,-1284.9455,-2074.1838,3895.511,1346.8635,802.9036,711.8582,-578.5539,-1935.8699,-1877.356,-1850.5741
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32425.158,35383.301,38484.8856,30130.7752,23120.1542,21083.649,20200.7651,18681.7816,16985.1934,15123.7344,13026.8183,11120.9676,11520.8207,11917.7919,12422.8744,12800.9814,12295.6271,11165.1439,9577.3115
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.488,28.5082,31.4193,12.7355,9.6575,9.8992,10.6014,11.2473,11.8419,11.8268,11.5374,11.0632,11.6413,12.1655,12.578,12.9395,13.0281,12.9229,12.5313
